sentence id	text	sentiment	topic
47	That book was a chore to get through, it felt like a waste of time.	negative	book
48	I found that book to be incredibly dull, it failed to capture my interest.	negative	book
49	The book I read last week was forgettable, I can barely remember anything about it.	negative	book
50	I regret spending money on that book, it wasn't worth the price.	negative	book
51	The book I borrowed from the library was disappointing, it didn't meet my expectations.	negative	book
52	I feel indifferent about that book, it didn't leave much of an impression on me.	neutral	book
53	The book I read last month was neither good nor bad, it was just average.	neutral	book
54	That book had mixed reviews, I'm not sure if I want to read it.	neutral	book
55	The book synopsis didn't grab my attention, I'm not sure if I'll read it.	neutral	book
56	I have no strong feelings about that book, it was neither impressive nor disappointing.	neutral	book
57	That sports event was a disaster, everything went wrong from the start.	negative	sports
58	I'm indifferent about the upcoming sports championship, I might watch it if I have time.	neutral	sports
59	The sports documentary I watched was decent, but it didn't offer anything groundbreaking.	neutral	sports
60	I'm feeling positive about my favorite team's performance this season, they're improving steadily.	positive	sports
61	The sports biography I read was enlightening, it shed light on the athlete's struggles and triumphs.	positive	sports
62	The latest movie I watched was dreadful, I couldn't wait for it to end.	negative	movie
63	That movie sequel was surprisingly good, it surpassed my expectations.	positive	movie
64	I'm feeling neutral about the movie I saw last night, it was neither impressive nor disappointing.	neutral	movie
65	The movie adaptation of the classic novel was a disappointment, it failed to capture the essence of the story.	negative	movie
66	Attending the movie premiere was exciting, I got to see the stars up close.	positive	movie
67	The book I read last week was terrible, I struggled to finish it.	negative	book
68	That book had rave reviews, but it didn't resonate with me at all.	neutral	book
69	I'm optimistic about starting a new book series, the reviews have been great.	positive	book
70	The sports event I attended last weekend was unforgettable, the atmosphere was electric!	positive	sports
71	Watching my team win the playoffs was exhilarating, it was a moment of pure joy.	positive	sports
72	The latest sports documentary I watched was mediocre, it lacked depth.	neutral	sports
73	I'm feeling negative about the upcoming sports championship, the teams seem mismatched.	negative	sports
74	The sports biography I read left me feeling inspired, it was a tale of resilience and determination.	positive	sports
75	The movie I watched last night was boring, it didn't hold my attention.	negative	movie
76	That movie had mixed reviews, but I found it surprisingly enjoyable.	positive	movie
77	I'm indifferent about the movie I saw last weekend, it was forgettable.	neutral	movie
78	The movie adaptation of the bestseller was disappointing, it failed to capture the essence of the book.	negative	movie
79	Attending the movie screening was a fun experience, I laughed throughout the film.	positive	movie
80	The book I read last month was underwhelming, it didn't live up to the hype.	negative	book
81	That book had glowing reviews, but I found it mediocre at best.	neutral	book
82	I'm excited to dive into the new book series, it promises adventure and intrigue.	positive	book
83	The sports event I attended last week was disappointing, the teams played poorly.	negative	sports
84	Watching my team lose the championship was heartbreaking, I was rooting for them all season.	negative	sports
85	The latest sports documentary I watched was informative, it provided valuable insights.	positive	sports
86	I'm feeling neutral about the upcoming sports tournament, I might watch it if I have time.	neutral	sports
87	The sports biography I read was captivating, it highlighted the athlete's journey to success.	positive	sports
88	The movie I watched last night was dreadful, I regret wasting my time on it.	negative	movie
89	That movie sequel exceeded my expectations, it was even better than the original.	positive	movie
90	I'm feeling positive about the movie I saw last weekend, it was a delightful surprise.	positive	movie
91	The movie adaptation of the classic novel fell short, it failed to capture the essence of the story.	negative	movie
92	Attending the movie premiere was a memorable experience, I got to meet my favorite actor.	positive	movie
93	The book I read last week was disappointing, it didn't meet my expectations.	negative	book
94	That book had mixed reviews, but I found it surprisingly engaging.	positive	book
95	I'm indifferent about the new book series, it didn't leave much of an impression on me.	neutral	book
96	The sports event I attended last weekend was thrilling, the outcome was unpredictable.	positive	sports
97	Watching my team win the playoffs was exhilarating, it was a moment of pure joy.	positive	sports
98	The latest sports documentary I watched was mediocre, it lacked depth.	neutral	sports
99	I'm feeling negative about the upcoming sports championship, the teams seem mismatched.	negative	sports
100	The sports biography I read left me feeling inspired, it was a tale of resilience and determination.	positive	sports
